"Sample ID","Type","WL750.0","WL665.0","WL664.0","WL663.0","WL647.0","WL630.0","WL490.0","WL384.0","Comments"
"blnk_b","Unknown",0.000,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,""
"blnk_a","Unknown",0.001,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,""
"ref_b","Unknown",0.003,0.068,0.067,0.066,0.027,0.017,0.032,0.108,""
"ref_a","Unknown",0.004,0.051,0.050,0.049,0.021,0.012,0.029,0.107,""
"3b","Unknown",0.005,0.458,0.457,0.451,0.165,0.106,0.309,0.527,""
"3a","Unknown",0.006,0.281,0.278,0.271,0.098,0.047,0.283,0.603,""
"10b","Unknown",0.003,0.004,0.004,0.004,0.003,0.003,0.004,0.005,""
"10a","Unknown",0.003,0.004,0.004,0.004,0.003,0.003,0.004,0.006,""
"15b","Unknown",0.010,0.492,0.492,0.485,0.178,0.119,0.341,0.556,""
"15a","Unknown",0.010,0.298,0.295,0.288,0.105,0.054,0.312,0.640,""
"17b","Unknown",0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,""
"17a","Unknown",0.002,0.001,0.001,0.001,0.001,0.000,0.001,0.001,""
"19b","Unknown",0.009,0.419,0.418,0.412,0.148,0.102,0.277,0.468,""
"19a","Unknown",0.010,0.254,0.250,0.244,0.090,0.048,0.255,0.538,""
"20b","Unknown",0.011,0.386,0.385,0.380,0.137,0.097,0.276,0.442,""
"20a","Unknown",0.012,0.237,0.233,0.228,0.086,0.048,0.256,0.508,""
"5b","Unknown",0.010,0.446,0.445,0.439,0.161,0.109,0.316,0.505,""
"5a","Unknown",0.011,0.271,0.268,0.261,0.098,0.051,0.289,0.579,""
"6b","Unknown",0.008,0.376,0.375,0.370,0.135,0.092,0.267,0.426,""
"6a","Unknown",0.009,0.229,0.226,0.220,0.081,0.042,0.241,0.487,""
"7b","Unknown",0.009,0.396,0.395,0.389,0.139,0.095,0.291,0.444,""
"7a","Unknown",0.009,0.242,0.238,0.233,0.085,0.045,0.269,0.512,""
"9b","Unknown",0.006,0.428,0.427,0.422,0.155,0.101,0.252,0.463,""
"9a","Unknown",0.007,0.259,0.256,0.250,0.094,0.045,0.232,0.539,""
"11b","Unknown",0.003,0.145,0.144,0.142,0.048,0.034,0.124,0.173,""
"11a","Unknown",0.004,0.089,0.088,0.085,0.029,0.016,0.115,0.198,""
"14b","Unknown",0.006,0.481,0.480,0.473,0.171,0.118,0.331,0.546,""
"14a","Unknown",0.007,0.294,0.290,0.283,0.104,0.054,0.308,0.629,""

